dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,architect,developer,qa,verifier,architect_total_tokens,developer_total_tokens,qa_total_tokens,verifier_total_tokens,architect_latency_s,developer_latency_s,qa_latency_s,verifier_latency_s,architect_error,developer_repair,developer_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
bigcodebench,monolithic,BigCodeBench/842,run-c001e0e8,1771513907.619856,humaneval_monolithic,monolithic,0,,0,Monolithic,2785,27.852705,SyntaxError,"unterminated string literal (detected at line 54) (<unknown>, line 54)",,,,,,,,,,,,,,,,,,4,4,1,1,True,,
bigcodebench,monolithic,BigCodeBench/213,run-c001e0e8,1771513926.962967,humaneval_monolithic,monolithic,0,,0,Monolithic,1740,19.305874,SyntaxError,"invalid decimal literal (<unknown>, line 35)",,,,,,,,,,,,,,,,,,4,4,1,1,False,AssertionError,"======================================================================
FAIL: test_case_1 (builtins.TestCases.test_case_1)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 13, in test_case_1
AssertionError: 4 != 5

----------------------------------------------------------------------
Ran 5 tests in 0.509s

FAILED (failures=1)"
bigcodebench,monolithic,BigCodeBench/479,run-c001e0e8,1771513948.860022,humaneval_monolithic,monolithic,0,,0,Monolithic,2395,21.861045,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 55)",,,,,,,,,,,,,,,,,,4,4,1,1,True,,
bigcodebench,monolithic,BigCodeBench/22,run-c001e0e8,1771513971.823751,humaneval_monolithic,monolithic,0,,0,Monolithic,2108,22.932093,SyntaxError,"unterminated string literal (detected at line 50) (<unknown>, line 50)",,,,,,,,,,,,,,,,,,3,3,1,1,True,,
bigcodebench,monolithic,BigCodeBench/587,run-c001e0e8,1771513993.135592,humaneval_monolithic,monolithic,0,,0,Monolithic,2315,21.276288,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 38)",,,,,,,,,,,,,,,,,,3,3,1,1,True,,
bigcodebench,monolithic,BigCodeBench/1051,run-c001e0e8,1771514027.418133,humaneval_monolithic,monolithic,0,,0,Monolithic,2819,34.250136,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 40)",,,,,,,,,,,,,,,,,,3,3,1,1,True,,
bigcodebench,monolithic,BigCodeBench/645,run-c001e0e8,1771514042.101818,humaneval_monolithic,monolithic,0,,0,Monolithic,1397,14.651331,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 25)",,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
ERROR: test_empty_csv (builtins.TestCases.test_empty_csv)
Test reading an empty CSV file.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 30, in test_empty_csv
  File ""<string>"", line 9, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
                   ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
                   ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File ""pandas/_libs/parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file

----------------------------------------------------------------------
Ran 5 tests in 0.052s

FAILED (errors=1)"
bigcodebench,monolithic,BigCodeBench/335,run-c001e0e8,1771514056.19979,humaneval_monolithic,monolithic,0,,0,Monolithic,1555,14.067367,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 34)",,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/33,run-c001e0e8,1771514068.170739,humaneval_monolithic,monolithic,0,,0,Monolithic,1367,11.937691,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 14)",,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/942,run-c001e0e8,1771514087.937737,humaneval_monolithic,monolithic,0,,0,Monolithic,2241,19.733706,SyntaxError,"closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 48)",,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
FAIL: test_case_1 (builtins.TestCases.test_case_1)
Test with default parameters.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 11, in test_case_1
AssertionError: 'Sales Report by Category' != 'Category-wise Sales Trends'
- Sales Report by Category
+ Category-wise Sales Trends


----------------------------------------------------------------------
Ran 5 tests in 0.735s

FAILED (failures=1)"
