dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
bigcodebench,agentic_plus_verifier,BigCodeBench/842,run-ee9b2df7,1773677621.769044,bigcodebench,critic_fail,0,,0,,6515,29.93474,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2274,1751,2490,,18.263044,8.250831,2.271278,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_plus_verifier,BigCodeBench/213,run-ee9b2df7,1773677669.639208,bigcodebench,critic_fail,0,,0,,3675,47.834028,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1893,827,955,,38.633149,4.67053,2.273772,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_plus_verifier,BigCodeBench/479,run-ee9b2df7,1773677712.169446,bigcodebench,critic_fail,0,,0,,4929,42.501671,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1981,1229,1719,,32.525139,6.2353,2.828521,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_plus_verifier,BigCodeBench/22,run-ee9b2df7,1773677736.504308,bigcodebench,critic_fail,0,,0,,4406,24.301981,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2014,1098,1294,,17.033027,4.947864,1.944458,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_plus_verifier,BigCodeBench/645,run-ee9b2df7,1773677908.623745,bigcodebench,critic_fail,0,,0,,3668,29.341543,SyntaxError,"invalid syntax (<unknown>, line 1)",google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1591,1133,944,,20.123928,5.443495,2.919906,,0,0,1,0,0,1,1,1,1,False,AssertionError,"======================================================================
ERROR: test_empty_csv (builtins.TestCases.test_empty_csv)
Test reading an empty CSV file.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 30, in test_empty_csv
  File ""<string>"", line 17, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
                   ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
                   ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File ""pandas/_libs/parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file

----------------------------------------------------------------------
Ran 5 tests in 0.098s

FAILED (errors=1)"
bigcodebench,agentic_plus_verifier,BigCodeBench/335,run-ee9b2df7,1773677940.765374,bigcodebench,critic_fail,0,,0,,4105,32.112333,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1928,1140,1037,,21.213424,6.909391,3.62485,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_plus_verifier,BigCodeBench/33,run-ee9b2df7,1773677967.124154,bigcodebench,critic_fail,0,,0,,3663,26.328472,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1683,1209,771,,16.399818,6.691198,2.775345,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_plus_verifier,BigCodeBench/942,run-ee9b2df7,1773678025.159965,bigcodebench,critic_fail,1,REJECT,1,,8796,58.001826,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,2248,4562,1337,649,20.4259,19.560643,4.299364,7.747001,0,1,0,1,0,1,1,1,1,True,,
bigcodebench,agentic_plus_verifier,BigCodeBench/200,run-ee9b2df7,1773678076.695637,bigcodebench,critic_fail,0,,0,,3762,51.498853,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1906,921,935,,22.484742,6.525538,2.295688,,0,0,0,0,0,1,1,1,1,False,TimeoutError,Timeout after 30.0s
bigcodebench,agentic_plus_verifier,BigCodeBench/107,run-ee9b2df7,1773678110.411306,bigcodebench,critic_fail,0,,0,,5037,33.671383,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2062,1923,1052,,17.278225,6.921502,2.121562,,0,0,0,0,0,1,1,1,1,True,,
