dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
bigcodebench,agentic,BigCodeBench/842,run-12bd7e9b,1773676993.701211,bigcodebench_no_verifier,critic_fail,0,,0,,6536,84.409729,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2274,1751,2511,,67.988702,8.109847,2.376655,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/213,run-12bd7e9b,1773677037.716832,bigcodebench_no_verifier,critic_fail,0,,0,,3638,44.008807,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1893,827,918,,17.430408,5.817113,2.164323,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/479,run-12bd7e9b,1773677070.090236,bigcodebench_no_verifier,critic_fail,0,,0,,4966,32.368534,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1981,1229,1756,,21.36058,7.306663,2.766018,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/22,run-12bd7e9b,1773677151.271608,bigcodebench_no_verifier,critic_fail,0,,0,,4396,81.178768,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2014,1098,1284,,71.35888,6.898703,2.339813,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/587,run-12bd7e9b,1773677230.451652,bigcodebench_no_verifier,critic_fail,0,,0,,4508,79.174653,SyntaxError,"invalid syntax (<unknown>, line 1)",google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2040,1340,1128,,48.161829,8.50254,2.398085,,0,0,1,0,0,1,1,1,1,False,TimeoutError,Timeout after 30.0s
bigcodebench,agentic,BigCodeBench/1051,run-12bd7e9b,1773677257.643557,bigcodebench_no_verifier,critic_fail,0,,0,,4071,27.184188,SyntaxError,"unterminated triple-quoted string literal (detected at line 54) (<unknown>, line 18)",google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2081,1146,844,,16.71112,7.00807,2.040129,,0,0,1,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/645,run-12bd7e9b,1773677285.537725,bigcodebench_no_verifier,critic_fail,0,,0,,3669,27.886153,SyntaxError,"invalid syntax (<unknown>, line 1)",google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1591,1133,945,,18.30766,5.314154,2.645541,,0,0,1,0,0,1,1,1,1,False,AssertionError,"======================================================================
ERROR: test_empty_csv (builtins.TestCases.test_empty_csv)
Test reading an empty CSV file.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 30, in test_empty_csv
  File ""<string>"", line 17, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
                   ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
                   ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File ""pandas/_libs/parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file

----------------------------------------------------------------------
Ran 5 tests in 0.080s

FAILED (errors=1)"
bigcodebench,agentic,BigCodeBench/335,run-12bd7e9b,1773677310.608651,bigcodebench_no_verifier,critic_fail,0,,0,,4112,25.063722,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1928,1137,1047,,15.926665,6.309827,2.459076,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/33,run-12bd7e9b,1773677341.658637,bigcodebench_no_verifier,critic_fail,0,,0,,3668,31.04051,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1683,1209,776,,23.509288,5.118302,1.946573,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/942,run-12bd7e9b,1773677369.556671,bigcodebench_no_verifier,critic_fail,0,,0,,5799,27.889907,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2248,2256,1295,,14.606974,8.942151,2.149047,,0,0,0,0,0,1,1,1,1,False,AssertionError,"======================================================================
FAIL: test_case_1 (builtins.TestCases.test_case_1)
Test with default parameters.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 11, in test_case_1
AssertionError: 'Sales Report by Category' != 'Category-wise Sales Trends'
- Sales Report by Category
+ Category-wise Sales Trends


----------------------------------------------------------------------
Ran 5 tests in 0.887s

FAILED (failures=1)"
