dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
mbpp,agentic_plus_verifier,MBPP/594,run-c0dae165,1773678603.584425,mbpp,critic_fail,1,REJECT,1,,4814,60.637702,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,1672,1786,444,912,16.285214,7.019493,6.546419,29.719901,0,1,0,1,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/74,run-c0dae165,1773678629.841471,mbpp,critic_fail,0,,0,,2732,26.220619,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1705,571,456,,18.666434,5.515249,1.488041,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/267,run-c0dae165,1773678672.141867,mbpp,critic_fail,1,REJECT,1,,3953,42.26865,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,1711,1329,238,675,23.395839,5.269375,1.562368,11.034936,0,1,0,1,0,1,1,1,1,False,AssertionError,AssertionError:
mbpp,agentic_plus_verifier,MBPP/93,run-c0dae165,1773678703.66325,mbpp,critic_fail,0,,0,,2283,31.483119,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1703,331,249,,26.585287,2.854062,1.676261,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/772,run-c0dae165,1773678742.497764,mbpp,critic_fail,1,REJECT,1,,3791,38.798674,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,1706,1258,244,583,26.031409,5.198924,1.608941,4.882228,0,1,0,1,0,1,1,1,1,False,AssertionError,AssertionError:
mbpp,agentic_plus_verifier,MBPP/568,run-c0dae165,1773678760.725834,mbpp,critic_fail,0,,0,,2176,18.19291,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1401,583,192,,13.142695,2.611125,2.063446,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/404,run-c0dae165,1773678795.34217,mbpp,critic_fail,0,,0,,1837,16.037725,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1173,470,194,,11.33874,2.444118,1.549954,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/450,run-c0dae165,1773678832.291551,mbpp,critic_fail,1,REJECT,1,,3439,36.904848,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,1705,641,333,760,17.610412,5.458854,4.910976,7.330381,0,1,0,1,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/439,run-c0dae165,1773678872.476389,mbpp,critic_fail,0,,0,,2383,40.152746,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1703,469,211,,20.812848,14.104767,1.522587,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/615,run-2148028d,1773678918.596739,mbpp,critic_fail,1,REJECT,1,,4124,31.266593,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,1707,1447,365,605,17.721035,5.490717,1.362937,5.649943,0,1,0,1,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/753,run-a196c992,1774028492.874115,mbpp,critic_fail,0,,0,,2352,22.060578,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1739,315,298,,17.391933,2.422047,1.613639,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/740,run-a196c992,1774028515.353254,mbpp,critic_fail,0,,0,,2776,22.446043,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1734,741,301,,16.773002,3.458411,1.724457,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/277,run-a196c992,1774028540.66582,mbpp,critic_fail,0,,0,,2758,25.269694,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1716,736,306,,15.236293,6.635142,2.676591,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/68,run-a196c992,1774028563.714921,mbpp,critic_fail,0,,0,,2637,23.012609,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1513,849,275,,14.136643,5.815198,2.49624,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/97,run-a196c992,1774028635.770338,mbpp,critic_fail,0,,0,,2852,72.027642,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1708,705,439,,58.555811,9.717356,3.155953,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/635,run-a196c992,1774028661.51174,mbpp,critic_fail,0,,0,,2661,25.709946,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1695,484,482,,17.35673,5.1658,2.516846,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/726,run-a196c992,1774028683.391316,mbpp,critic_fail,0,,0,,2519,21.812544,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1553,682,284,,15.919284,3.478504,1.942186,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/577,run-a196c992,1774028706.223318,mbpp,critic_fail,0,,0,,2371,22.796299,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1532,617,222,,14.67887,5.29416,2.313853,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/312,run-a196c992,1774028725.516602,mbpp,critic_fail,0,,0,,1973,19.249316,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1206,530,237,,12.109375,4.187266,2.393998,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/776,run-a196c992,1774028760.625844,mbpp,critic_fail,1,REJECT,1,,3629,35.071117,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,1707,934,346,642,16.072637,8.383099,2.372647,6.661541,0,1,0,1,0,1,1,1,1,False,AssertionError,AssertionError:
mbpp,agentic_plus_verifier,MBPP/604,run-a196c992,1774028783.054343,mbpp,critic_fail,0,,0,,2569,22.400206,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1701,675,193,,16.826959,3.234782,1.725515,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/117,run-a196c992,1774028816.256049,mbpp,critic_fail,1,REJECT,1,,4563,33.161535,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,1707,1600,477,779,15.868781,6.435459,2.523804,6.877435,0,1,0,1,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/599,run-a196c992,1774028836.741741,mbpp,critic_fail,0,,0,,2258,20.438414,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1435,570,253,,13.073085,3.819255,3.000861,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/91,run-a196c992,1774028859.407198,mbpp,critic_fail,0,,0,,2374,22.619288,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1712,363,299,,17.256105,3.455768,1.366505,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/57,run-a196c992,1774028893.320955,mbpp,critic_fail,0,,0,,2206,33.892921,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1709,298,199,,29.280532,2.718884,1.388654,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/400,run-a196c992,1774028928.603849,mbpp,critic_fail,1,REJECT,1,,3718,35.244982,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,google/gemini-3-pro-preview,1703,806,315,894,16.400935,7.220078,1.868642,8.465414,0,1,0,1,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/280,run-a196c992,1774028957.917778,mbpp,critic_fail,0,,0,,2538,29.280649,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1521,745,272,,24.133064,3.324473,1.365398,,0,0,0,0,0,1,1,1,1,True,,
mbpp,agentic_plus_verifier,MBPP/260,run-a196c992,1774028980.027386,mbpp,critic_fail,0,,0,,2723,22.075589,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1705,564,454,,14.296713,5.590358,1.724164,,0,0,0,0,0,1,1,1,1,False,AssertionError,AssertionError:
mbpp,agentic_plus_verifier,MBPP/92,run-a196c992,1774029006.997062,mbpp,critic_fail,0,,0,,2642,26.936739,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1701,540,401,,18.072344,6.856907,1.412063,,0,0,0,0,0,1,1,1,1,True,,
