dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
humaneval,agentic_no_planner,HumanEval/0,run-b40543ac,1773680001.624273,humaneval_no_planner_no_verifier,critic_fail,0,,0,,1186,5.807554,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,598,588,,,3.8687,1.582747,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/1,run-b40543ac,1773680007.422053,humaneval_no_planner_no_verifier,critic_fail,0,,0,,1147,5.772085,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,685,462,,,3.71429,1.664435,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/2,run-b40543ac,1773680012.49455,humaneval_no_planner_no_verifier,critic_fail,0,,0,,739,5.04983,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,424,315,,,2.988974,1.676035,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/3,run-b40543ac,1773680018.213503,humaneval_no_planner_no_verifier,critic_fail,0,,0,,990,5.690612,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,548,442,,,4.002814,1.339202,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/4,run-b40543ac,1773680023.1446,humaneval_no_planner_no_verifier,critic_fail,0,,0,,967,4.900974,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,559,408,,,3.047954,1.495118,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/5,run-b40543ac,1773680028.418242,humaneval_no_planner_no_verifier,critic_fail,0,,0,,903,5.248663,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,520,383,,,3.012388,1.86596,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/6,run-b40543ac,1773680034.057297,humaneval_no_planner_no_verifier,critic_fail,0,,0,,1072,5.614237,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,660,412,,,3.54696,1.721612,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/7,run-b40543ac,1773680039.279528,humaneval_no_planner_no_verifier,critic_fail,0,,0,,859,5.187063,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,483,376,,,3.083285,1.655997,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/8,run-b40543ac,1773680044.617051,humaneval_no_planner_no_verifier,critic_fail,0,,0,,970,5.30723,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,572,398,,,3.271661,1.704323,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic_no_planner,HumanEval/9,run-b40543ac,1773680050.244426,humaneval_no_planner_no_verifier,critic_fail,0,,0,,941,5.598259,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,536,405,,,3.678814,1.537835,,0,0,0,0,0,1,1,1,1,True,,
