dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,architect,developer,qa,verifier,architect_total_tokens,developer_total_tokens,qa_total_tokens,verifier_total_tokens,architect_latency_s,developer_latency_s,qa_latency_s,verifier_latency_s,architect_error,developer_repair,developer_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
bigcodebench,agentic,BigCodeBench/842,run-a153f978,1771533242.070038,bigcodebench_no_security_no_verifier,always,0,,0,,8071,62.464439,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2278,1851,3942,,18.728076,9.821809,33.88504,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/213,run-a153f978,1771533285.113586,bigcodebench_no_security_no_verifier,always,0,,0,,4505,43.012962,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1895,822,1788,,18.081412,5.825476,18.992867,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/479,run-a153f978,1771533350.289523,bigcodebench_no_security_no_verifier,always,0,,0,,6567,65.125593,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1985,1486,3096,,17.617395,6.824065,40.595584,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/22,run-a153f978,1771533424.235658,bigcodebench_no_security_no_verifier,always,0,,0,,6019,73.898388,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2018,1291,2710,,31.293286,5.420221,37.132866,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/587,run-d2e3d922,1771533602.363372,bigcodebench_no_security_no_verifier,always,0,,0,,5660,50.063119,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2042,1458,2160,,19.590343,9.89979,20.44963,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/1051,run-d2e3d922,1771533643.107735,bigcodebench_no_security_no_verifier,always,0,,0,,4932,40.706803,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2083,1329,1520,,19.567415,7.431426,13.581953,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/645,run-d2e3d922,1771533677.850879,bigcodebench_no_security_no_verifier,always,0,,0,,4237,34.691609,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1465,1229,1543,,14.648345,3.875702,16.00606,,0,0,0,0,0,1,1,1,1,False,AssertionError,"======================================================================
ERROR: test_empty_csv (builtins.TestCases.test_empty_csv)
Test reading an empty CSV file.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 30, in test_empty_csv
  File ""<string>"", line 34, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
                   ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
                   ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File ""pandas/_libs/parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file

----------------------------------------------------------------------
Ran 5 tests in 0.149s

FAILED (errors=1)"
bigcodebench,agentic,BigCodeBench/335,run-d2e3d922,1771533714.124701,bigcodebench_no_security_no_verifier,always,0,,0,,4668,36.243754,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1930,1420,1318,,19.779753,5.941382,10.358703,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic,BigCodeBench/942,run-d2e3d922,1771533768.978567,bigcodebench_no_security_no_verifier,always,0,,0,,6202,39.714766,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,2252,2038,1912,,18.656692,8.596395,12.292225,,0,0,0,0,0,1,1,1,1,False,AssertionError,"======================================================================
FAIL: test_case_1 (builtins.TestCases.test_case_1)
Test with default parameters.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 11, in test_case_1
AssertionError: '' != 'Category-wise Sales Trends'
+ Category-wise Sales Trends


----------------------------------------------------------------------
Ran 5 tests in 0.502s

FAILED (failures=1)"
bigcodebench,agentic,BigCodeBench/200,run-d2e3d922,1771533815.768244,bigcodebench_no_security_no_verifier,always,0,,0,,5395,46.747962,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1910,1521,1964,,20.270866,6.09991,20.177812,,0,0,0,0,0,1,1,1,1,False,TimeoutError,Timeout after 30.0s
