dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
bigcodebench,agentic_no_planner,BigCodeBench/842,run-5b3d0ccc,1773677469.548342,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,3874,10.311514,SyntaxError,"invalid syntax (<unknown>, line 1)",,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1795,2079,,,4.44683,4.411747,,0,0,1,0,0,1,1,1,1,True,,
bigcodebench,agentic_no_planner,BigCodeBench/213,run-5b3d0ccc,1773677480.404556,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,1990,10.852011,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1012,978,,,5.088616,3.067454,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_no_planner,BigCodeBench/479,run-5b3d0ccc,1773677491.35122,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,3112,10.943123,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1431,1681,,,7.502553,2.549455,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_no_planner,BigCodeBench/22,run-5b3d0ccc,1773677499.695501,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,2565,8.336093,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1273,1292,,,5.801582,2.226633,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_no_planner,BigCodeBench/587,run-5b3d0ccc,1773677532.044731,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,3034,32.344625,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1762,1272,,,8.829836,3.405893,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_no_planner,BigCodeBench/1051,run-5b3d0ccc,1773677543.17582,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,2372,11.123113,SyntaxError,"invalid syntax (<unknown>, line 1)",,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1500,872,,,6.491683,3.481153,,0,0,1,0,0,1,1,1,1,True,,
bigcodebench,agentic_no_planner,BigCodeBench/645,run-5b3d0ccc,1773677551.816143,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,1766,8.633404,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,852,914,,,4.721939,2.962262,,0,0,0,0,0,1,1,1,1,False,AssertionError,"======================================================================
ERROR: test_empty_csv (builtins.TestCases.test_empty_csv)
Test reading an empty CSV file.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 30, in test_empty_csv
  File ""<string>"", line 34, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1026, in read_csv
    return _read(filepath_or_buffer, kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 620, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1620, in __init__
    self._engine = self._make_engine(f, self.engine)
                   ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\readers.py"", line 1898, in _make_engine
    return mapping[engine](f, **self.options)
           ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\io\parsers\c_parser_wrapper.py"", line 93, in __init__
    self._reader = parsers.TextReader(src, **kwds)
                   ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^
  File ""pandas/_libs/parsers.pyx"", line 581, in pandas._libs.parsers.TextReader.__cinit__
pandas.errors.EmptyDataError: No columns to parse from file

----------------------------------------------------------------------
Ran 5 tests in 0.097s

FAILED (errors=1)"
bigcodebench,agentic_no_planner,BigCodeBench/335,run-5b3d0ccc,1773677560.979477,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,1962,9.152763,SyntaxError,"unterminated triple-quoted string literal (detected at line 27) (<unknown>, line 8)",,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1024,938,,,6.268247,2.864497,,0,0,1,0,0,1,1,1,1,False,SyntaxError,"unterminated triple-quoted string literal (detected at line 22) (<unknown>, line 3)"
bigcodebench,agentic_no_planner,BigCodeBench/33,run-5b3d0ccc,1773677570.557597,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,1748,9.54228,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,950,798,,,7.065669,2.049528,,0,0,0,0,0,1,1,1,1,True,,
bigcodebench,agentic_no_planner,BigCodeBench/942,run-5b3d0ccc,1773677578.834455,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,2590,8.272951,SyntaxError,"leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<unknown>, line 6)",,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1646,944,,,6.025807,2.233052,,0,0,1,0,0,1,1,1,1,False,SyntaxError,"leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<unknown>, line 1)"
bigcodebench,agentic_no_planner,BigCodeBench/200,run-e5a5ea70,1774014966.540412,bigcodebench_no_planner_no_verifier,critic_fail,0,,0,,2028,12.756696,,,,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,,1100,928,,,10.115258,2.617043,,0,0,0,0,0,1,1,1,1,False,TimeoutError,Timeout after 30.0s
