dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,planner,executor,critic,verifier,planner_total_tokens,executor_total_tokens,critic_total_tokens,verifier_total_tokens,planner_latency_s,executor_latency_s,critic_latency_s,verifier_latency_s,planner_error,executor_repair,executor_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
humaneval,agentic,HumanEval/0,run-621d5d7f,1773679653.383128,humaneval_no_verifier,critic_fail,0,,0,,3392,24.416039,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1720,1087,585,,15.611411,3.706591,4.70851,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/1,run-621d5d7f,1773679681.620262,humaneval_no_verifier,critic_fail,0,,0,,3046,28.200001,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1793,749,504,,22.065935,4.25124,1.515728,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/2,run-621d5d7f,1773679701.511408,humaneval_no_verifier,critic_fail,0,,0,,2717,19.863151,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1685,720,312,,15.369848,2.70354,1.415421,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/3,run-621d5d7f,1773679719.622051,humaneval_no_verifier,critic_fail,0,,0,,2933,18.07883,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1592,902,439,,13.03417,3.405786,1.286012,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/4,run-621d5d7f,1773679757.92853,humaneval_no_verifier,critic_fail,0,,0,,2966,38.270881,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1678,875,413,,33.480028,3.268755,1.125796,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/5,run-621d5d7f,1773679794.586398,humaneval_no_verifier,critic_fail,0,,0,,2983,36.638691,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1771,843,369,,31.353397,3.66297,1.228505,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/6,run-621d5d7f,1773679833.405608,humaneval_no_verifier,critic_fail,0,,0,,3081,38.787998,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1602,1054,425,,33.253993,3.579262,1.586059,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/7,run-621d5d7f,1773679897.44807,humaneval_no_verifier,critic_fail,0,,0,,2956,64.001945,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1772,795,389,,58.96538,2.822453,1.849843,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/8,run-621d5d7f,1773679914.883032,humaneval_no_verifier,critic_fail,0,,0,,2810,17.4001,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1548,863,399,,11.948148,3.430378,1.624148,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/9,run-621d5d7f,1773679956.159443,humaneval_no_verifier,critic_fail,0,,0,,2768,41.238482,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1506,866,396,,36.066765,3.164022,1.611823,,0,0,0,0,0,1,1,1,1,True,,
