dataset,strategy,task_id,expected_task_count,artifact_source,artifact_found,model,passed,error_type,canonical_parse_error,artifact_parse_error,canonical_char_count,artifact_char_count,canonical_line_count,artifact_line_count,canonical_nonempty_line_count,artifact_nonempty_line_count,canonical_parse_ok,artifact_parse_ok,canonical_ast_node_count,artifact_ast_node_count,canonical_function_count,artifact_function_count,canonical_branch_count,artifact_branch_count,canonical_loop_count,artifact_loop_count,canonical_call_count,artifact_call_count,canonical_comprehension_count,artifact_comprehension_count,canonical_return_count,artifact_return_count,canonical_max_control_nesting_depth,artifact_max_control_nesting_depth,canonical_cyclomatic_proxy,artifact_cyclomatic_proxy,lexical_cosine_similarity,token_cosine_similarity,line_count_delta,nonempty_line_count_delta,ast_node_count_delta,branch_count_delta,loop_count_delta,call_count_delta,max_control_nesting_depth_delta,cyclomatic_proxy_delta,line_count_ratio,ast_node_count_ratio,cyclomatic_proxy_ratio
bigcodebench,agentic,BigCodeBench/1003,200,,0,,,,,empty,677,0,21,0,20,0,1,0,122,,1,,3,,2,,9,,1,,1,,2,,6,,,,-21,-20,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1005,200,,0,,,,,empty,626,0,18,0,17,0,1,0,121,,1,,3,,0,,8,,0,,2,,2,,4,,,,-18,-17,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1016,200,,0,,,,,empty,861,0,25,0,24,0,1,0,165,,1,,3,,0,,14,,0,,1,,2,,5,,,,-25,-24,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1029,200,,0,,,,,empty,302,0,9,0,8,0,1,0,73,,1,,0,,1,,5,,1,,1,,1,,2,,,,-9,-8,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/103,200,,0,,,,,empty,687,0,17,0,16,0,1,0,118,,1,,2,,0,,9,,0,,1,,2,,4,,,,-17,-16,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/104,200,,0,,,,,empty,803,0,17,0,16,0,1,0,175,,2,,1,,2,,13,,1,,1,,2,,5,,,,-17,-16,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1042,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,796,1608,24,51,23,45,1,1,164,148,1,1,0,0,0,0,15,11,0,0,0,0,0,0,1,1,0.653294227329611,0.8710506459222023,27,22,-16,0,0,-4,0,0,2.125,0.9024390243902439,1.0
bigcodebench,agentic,BigCodeBench/1050,200,,0,,,,,empty,583,0,18,0,17,0,1,0,127,,1,,2,,1,,10,,0,,1,,2,,4,,,,-18,-17,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1051,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,720,863,17,27,16,26,1,1,175,163,1,1,2,2,1,1,20,16,1,1,2,2,1,1,4,4,0.8686189236361562,0.9689224793908107,10,10,-12,0,0,-4,0,0,1.588235294117647,0.9314285714285714,1.0
bigcodebench,agentic,BigCodeBench/1068,200,,0,,,,,empty,536,0,15,0,14,0,1,0,89,,1,,3,,0,,6,,0,,1,,2,,5,,,,-15,-14,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/107,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,897,2118,20,55,19,47,1,1,190,203,2,2,2,2,1,1,14,14,1,1,1,1,2,2,5,4,0.7756290860992618,0.948573831723947,35,28,13,0,0,0,0,-1,2.75,1.068421052631579,0.8
bigcodebench,agentic,BigCodeBench/1071,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,414,1977,14,53,13,47,1,1,92,123,1,1,0,1,1,1,7,10,0,0,1,1,1,2,2,3,0.4543581348667629,0.9513073127447633,39,34,31,1,0,3,1,1,3.7857142857142856,1.3369565217391304,1.5
bigcodebench,agentic,BigCodeBench/1086,200,,0,,,,,empty,336,0,10,0,9,0,1,0,79,,1,,0,,2,,5,,2,,1,,1,,3,,,,-10,-9,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1095,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,546,1524,13,40,12,34,1,1,104,115,1,1,0,1,3,3,7,7,2,1,1,1,2,3,4,6,0.5154456184759558,0.8755003296230705,27,22,11,1,0,0,1,2,3.076923076923077,1.1057692307692308,1.5
bigcodebench,agentic,BigCodeBench/11,200,,0,,,,,empty,448,0,13,0,12,0,1,0,116,,1,,0,,2,,10,,2,,1,,1,,3,,,,-13,-12,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1101,200,,0,,,,,empty,409,0,14,0,13,0,1,0,89,,1,,0,,1,,6,,0,,1,,1,,2,,,,-14,-13,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1115,200,,0,,,,,empty,346,0,10,0,9,0,1,0,71,,1,,0,,3,,6,,1,,1,,3,,4,,,,-10,-9,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1119,200,,0,,,,,empty,488,0,12,0,11,0,1,0,101,,1,,0,,1,,8,,1,,1,,1,,2,,,,-12,-11,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1120,200,,0,,,,,empty,399,0,13,0,12,0,1,0,83,,1,,0,,1,,4,,0,,1,,1,,2,,,,-13,-12,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/1127,200,predictions_executable,1,anthropic/claude-sonnet-4.5,True,,,,493,1346,16,40,15,35,1,1,108,132,1,1,2,2,1,2,10,10,0,0,1,1,2,4,5,5,0.6320902104510212,0.9338632564739362,24,20,24,0,1,0,2,0,2.5,1.2222222222222223,1.0
bigcodebench,agentic,BigCodeBench/117,200,,0,,,,,empty,869,0,21,0,20,0,1,0,195,,1,,1,,1,,10,,0,,1,,1,,5,,,,-21,-20,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/119,200,,0,,,,,empty,252,0,13,0,12,0,1,0,78,,1,,0,,0,,8,,0,,0,,0,,1,,,,-13,-12,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/12,200,predictions_executable,1,anthropic/claude-sonnet-4.5,False,AssertionError,,,771,2654,21,66,20,60,1,1,147,286,1,1,2,7,0,0,11,21,0,0,1,1,1,4,3,9,0.6508543382838994,0.9263697249049494,45,40,139,5,0,10,3,6,3.142857142857143,1.945578231292517,3.0
bigcodebench,agentic,BigCodeBench/121,200,,0,,,,,empty,753,0,19,0,18,0,1,0,163,,1,,2,,1,,12,,0,,1,,1,,4,,,,-19,-18,,,,,,,0.0,,
bigcodebench,agentic,BigCodeBench/145,200,,0,,,,,empty,376,0,11,0,10,0,1,0,70,,1,,0,,1,,6,,0,,1,,1,,2,,,,-11,-10,,,,,,,0.0,,
