dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,architect,developer,qa,verifier,architect_total_tokens,developer_total_tokens,qa_total_tokens,verifier_total_tokens,architect_latency_s,developer_latency_s,qa_latency_s,verifier_latency_s,architect_error,developer_repair,developer_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
humaneval,agentic,HumanEval/0,run-54dbbca7,1771854417.079991,humaneval_no_security_no_verifier,always,0,,0,,3833,31.97829,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1805,871,1157,,17.11958,3.173098,11.585004,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/1,run-54dbbca7,1771854453.230397,humaneval_no_security_no_verifier,always,0,,0,,3827,36.118291,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1797,1032,998,,17.060013,4.160779,14.809313,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/2,run-54dbbca7,1771854479.059727,humaneval_no_security_no_verifier,always,0,,0,,2639,25.809565,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1758,397,484,,18.681925,1.824829,5.226618,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/3,run-54dbbca7,1771854503.249609,humaneval_no_security_no_verifier,always,0,,0,,3388,24.174703,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1705,1051,632,,14.50466,3.333131,6.271026,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/4,run-54dbbca7,1771854530.012938,humaneval_no_security_no_verifier,always,0,,0,,3367,26.744017,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1766,1002,599,,17.451989,3.199814,5.976674,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/5,run-54dbbca7,1771854553.681329,humaneval_no_security_no_verifier,always,0,,0,,3174,23.636691,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1560,1040,574,,13.294876,2.74269,7.483444,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/6,run-54dbbca7,1771854579.275532,humaneval_no_security_no_verifier,always,0,,0,,3548,25.555299,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1795,1153,600,,15.546519,3.496785,6.394414,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/7,run-54dbbca7,1771854607.809543,humaneval_no_security_no_verifier,always,0,,0,,3337,28.494921,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1758,866,713,,16.037286,2.158486,10.178039,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/8,run-54dbbca7,1771854628.749147,humaneval_no_security_no_verifier,always,0,,0,,3052,20.925647,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1691,944,417,,13.969418,3.260702,3.622992,,0,0,0,0,0,1,1,1,1,True,,
humaneval,agentic,HumanEval/9,run-54dbbca7,1771854656.296993,humaneval_no_security_no_verifier,always,0,,0,,3101,27.535774,,,google/gemini-3-pro-preview,anthropic/claude-sonnet-4.5,openai/gpt-5.1,,1778,687,636,,16.597424,3.017157,7.767248,,0,0,0,0,0,1,1,1,1,True,,
